2024-12-05 23:56:27.426 | INFO     | __main__:main:14 - Starting Mini Dollar Strategy
2024-12-05 23:56:27.427 | INFO     | src.data.loaders.market_data:__init__:9 - Using database: src/data/database/candles.db, table: candles
2024-12-05 23:56:27.428 | INFO     | src.analysis.technical.enhanced_strategy_v2:__init__:42 - Initialized EnhancedTechnicalStrategyV2
2024-12-05 23:56:27.428 | INFO     | src.agents.coordinator:__init__:41 - Initialized StrategyCoordinator with parameters:
2024-12-05 23:56:27.429 | INFO     | __main__:main:31 - Running backtest from 2024-11-05 23:56:27.429245 to 2024-12-05 23:56:27.429245
2024-12-05 23:56:27.429 | INFO     | src.data.loaders.market_data:get_minute_data:13 - Attempting to load data from src/data/database/candles.db, table: candles
2024-12-05 23:56:27.483 | INFO     | src.data.loaders.market_data:get_minute_data:31 - Data loaded: 8640 records
2024-12-05 23:56:27.493 | INFO     | src.data.loaders.market_data:get_minute_data:48 - Data resampled to 1-minute intervals: 8640 records
2024-12-05 23:56:27.494 | INFO     | src.data.loaders.market_data:get_minute_data:53 - 'time' column reset to ensure its presence: ['time', 'open', 'high', 'low', 'close', 'volume']
2024-12-05 23:56:27.494 | INFO     | src.agents.coordinator:backtest:148 - Loaded 8640 candles for backtest
2024-12-05 23:56:27.669 | INFO     | src.analysis.technical.enhanced_strategy_v2:load_model:189 - Model loaded from model.pkl
2024-12-05 23:56:27.832 | INFO     | src.agents.coordinator:backtest:151 - Processed market data with technical indicators and ML signals
2024-12-05 23:56:27.977 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.3710311531043533, entry price 9537.27816314761
2024-12-05 23:56:27.979 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9539.328361222382 with profit 31.15
2024-12-05 23:56:27.985 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.3625449287799322, entry price 9538.664408055422
2024-12-05 23:56:27.991 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9540.787506702889 with profit 30.36
2024-12-05 23:56:28.179 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.373648119478493, entry price 9561.25437103517
2024-12-05 23:56:28.185 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9563.023950311093 with profit 31.39
2024-12-05 23:56:28.188 | INFO     | src.agents.market:execute_trades:71 - Opened long position: size 0.2230949826641867, entry price 9563.030558961558
2024-12-05 23:56:28.189 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 414: 9563.030558961558
2024-12-05 23:56:28.190 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 415: 9563.030558961558
2024-12-05 23:56:28.191 | INFO     | src.agents.market:execute_trades:49 - Trade closed: long at 9563.030558961558 with profit -26.33
2024-12-05 23:56:28.239 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.3815598226263539, entry price 9567.320861395141
2024-12-05 23:56:28.241 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9569.09113580433 with profit 32.19
2024-12-05 23:56:28.425 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.3830385441587938, entry price 9588.490495812555
2024-12-05 23:56:28.426 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9590.172042137552 with profit 32.38
2024-12-05 23:56:28.428 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.3534468708529046, entry price 9589.912618365332
2024-12-05 23:56:28.436 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9591.77418697852 with profit 29.56
2024-12-05 23:56:28.483 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.37743628208223, entry price 9594.862491008174
2024-12-05 23:56:28.487 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9596.701543725068 with profit 31.92
2024-12-05 23:56:28.729 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.38108030219628325, entry price 9623.909695457021
2024-12-05 23:56:28.734 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9625.92277167372 with profit 32.45
2024-12-05 23:56:28.928 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.3094017551794994, entry price 9647.643849521155
2024-12-05 23:56:28.934 | INFO     | src.agents.market:check_exit_conditions:143 - Atualizando stop_loss para posição curta em 1272: 9647.643849521155
2024-12-05 23:56:28.935 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9647.643849521155 with profit 24.85
2024-12-05 23:56:29.224 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.36295280705364635, entry price 9682.190519099282
2024-12-05 23:56:29.227 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9684.009641632412 with profit 30.81
2024-12-05 23:56:29.229 | INFO     | src.agents.market:execute_trades:71 - Opened long position: size 0.2984370308754379, entry price 9683.146162509272
2024-12-05 23:56:29.230 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1618: 9683.146162509272
2024-12-05 23:56:29.231 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1619: 9683.146162509272
2024-12-05 23:56:29.232 | INFO     | src.agents.market:execute_trades:49 - Trade closed: long at 9683.146162509272 with profit -33.90
2024-12-05 23:56:29.233 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.3816784735964038, entry price 9682.267360143962
2024-12-05 23:56:29.236 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9684.251739623878 with profit 32.72
2024-12-05 23:56:29.238 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.38120364485724534, entry price 9682.167728041706
2024-12-05 23:56:29.241 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9684.01622197932 with profit 32.62
2024-12-05 23:56:29.430 | INFO     | src.agents.market:execute_trades:71 - Opened long position: size 0.266457289494059, entry price 9704.83022005434
2024-12-05 23:56:29.432 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1839: 9704.83022005434
2024-12-05 23:56:29.433 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1840: 9704.83022005434
2024-12-05 23:56:29.435 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1841: 9704.83022005434
2024-12-05 23:56:29.436 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1842: 9704.83022005434
2024-12-05 23:56:29.437 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1843: 9704.83022005434
2024-12-05 23:56:29.439 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1844: 9704.83022005434
2024-12-05 23:56:29.441 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1845: 9704.83022005434
2024-12-05 23:56:29.443 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1846: 9704.83022005434
2024-12-05 23:56:29.445 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1847: 9704.83022005434
2024-12-05 23:56:29.447 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1848: 9704.83022005434
2024-12-05 23:56:29.448 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1849: 9704.83022005434
2024-12-05 23:56:29.450 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1850: 9704.83022005434
2024-12-05 23:56:29.451 | INFO     | src.agents.market:execute_trades:49 - Trade closed: long at 9707.005624209987 with profit -30.29
2024-12-05 23:56:29.510 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.3585474279110125, entry price 9711.517768386708
2024-12-05 23:56:29.517 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9713.327880010502 with profit 30.48
2024-12-05 23:56:29.709 | INFO     | src.agents.market:execute_trades:71 - Opened long position: size 0.25397108290969844, entry price 9734.370543353612
2024-12-05 23:56:29.711 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 2127: 9734.370543353612
2024-12-05 23:56:29.712 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 2128: 9734.370543353612
2024-12-05 23:56:29.713 | INFO     | src.agents.market:execute_trades:49 - Trade closed: long at 9734.370543353612 with profit -29.72
2024-12-05 23:56:29.717 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.37554992091050865, entry price 9733.526190347453
2024-12-05 23:56:29.720 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9735.283150577234 with profit 32.22
2024-12-05 23:56:29.726 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.3750421923113556, entry price 9734.40455745935
2024-12-05 23:56:29.728 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9736.222903131718 with profit 32.20
2024-12-05 23:56:29.730 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.3462905358782246, entry price 9735.24994035008
2024-12-05 23:56:29.740 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9737.171988187376 with profit 29.38
2024-12-05 23:56:29.783 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.36447120685662693, entry price 9740.344931958318
2024-12-05 23:56:29.785 | INFO     | src.agents.market:check_exit_conditions:143 - Atualizando stop_loss para posição curta em 2191: 9740.344931958318
2024-12-05 23:56:29.787 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9740.344931958318 with profit 30.50
2024-12-05 23:56:29.792 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.38306892081539834, entry price 9739.276800897775
2024-12-05 23:56:29.794 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9741.23711131633 with profit 33.07
2024-12-05 23:56:29.991 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.36673037951512033, entry price 9761.918647704348
2024-12-05 23:56:30.000 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9763.768536426129 with profit 31.49
2024-12-05 23:56:30.267 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.37239953280632937, entry price 9790.995623246514
2024-12-05 23:56:30.269 | INFO     | src.agents.market:check_exit_conditions:143 - Atualizando stop_loss para posição curta em 2704: 9790.995623246514
2024-12-05 23:56:30.270 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9790.995623246514 with profit 31.46
2024-12-05 23:56:30.277 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.36981184803423517, entry price 9791.777440557778
2024-12-05 23:56:30.280 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9793.283833475354 with profit 31.77
2024-12-05 23:56:30.282 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.380165033113658, entry price 9791.803641286002
2024-12-05 23:56:30.286 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9793.379972766816 with profit 32.83
2024-12-05 23:56:30.344 | INFO     | src.agents.market:execute_trades:71 - Opened long position: size 0.2680036814113659, entry price 9797.845100068906
2024-12-05 23:56:30.346 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 2765: 9797.845100068906
2024-12-05 23:56:30.347 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 2766: 9797.845100068906
2024-12-05 23:56:30.350 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 2767: 9797.845100068906
2024-12-05 23:56:30.351 | INFO     | src.agents.market:execute_trades:49 - Trade closed: long at 9797.845100068906 with profit -31.26
2024-12-05 23:56:30.585 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.35254852897373556, entry price 9820.332930820552
2024-12-05 23:56:30.587 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 9822.208714803071 with profit 30.29
2024-12-05 23:56:30.907 | INFO     | src.agents.market:execute_trades:71 - Opened long position: size 0.2922145273919661, entry price 9856.510963996523
2024-12-05 23:56:30.908 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 3355: 9856.510963996523
2024-12-05 23:56:30.910 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 3356: 9856.510963996523
2024-12-05 23:56:30.912 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 3357: 9856.510963996523
2024-12-05 23:56:30.913 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 3358: 9856.510963996523
2024-12-05 23:56:30.915 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 3359: 9856.510963996523
2024-12-05 23:56:30.917 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 3360: 9856.510963996523
2024-12-05 23:56:30.919 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 3361: 9856.510963996523
2024-12-05 23:56:30.921 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 3362: 9856.510963996523
2024-12-05 23:56:30.922 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 3363: 9856.510963996523
2024-12-05 23:56:30.924 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 3364: 9856.510963996523
2024-12-05 23:56:30.926 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 3365: 9856.510963996523
2024-12-05 23:56:30.928 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 3366: 9856.510963996523
2024-12-05 23:56:30.930 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 3367: 9856.510963996523
