2024-12-05 23:45:02.991 | INFO     | __main__:main:14 - Starting Mini Dollar Strategy
2024-12-05 23:45:02.994 | INFO     | src.data.loaders.market_data:__init__:9 - Using database: src/data/database/candles.db, table: candles
2024-12-05 23:45:02.995 | INFO     | src.analysis.technical.enhanced_strategy_v2:__init__:42 - Initialized EnhancedTechnicalStrategyV2
2024-12-05 23:45:02.996 | INFO     | src.agents.coordinator:__init__:41 - Initialized StrategyCoordinator with parameters:
2024-12-05 23:45:02.997 | INFO     | __main__:main:31 - Running backtest from 2024-06-08 23:45:02.997428 to 2024-12-05 23:45:02.997428
2024-12-05 23:45:02.998 | INFO     | src.data.loaders.market_data:get_minute_data:13 - Attempting to load data from src/data/database/candles.db, table: candles
2024-12-05 23:45:03.168 | INFO     | src.data.loaders.market_data:get_minute_data:31 - Data loaded: 51840 records
2024-12-05 23:45:03.178 | INFO     | src.data.loaders.market_data:get_minute_data:48 - Data resampled to 5-minute intervals: 51840 records
2024-12-05 23:45:03.179 | INFO     | src.data.loaders.market_data:get_minute_data:53 - 'time' column reset to ensure its presence: ['time', 'open', 'high', 'low', 'close', 'volume']
2024-12-05 23:45:03.180 | INFO     | src.agents.coordinator:backtest:148 - Loaded 51840 candles for backtest
2024-12-05 23:45:03.595 | INFO     | src.analysis.technical.enhanced_strategy_v2:load_model:189 - Model loaded from model.pkl
2024-12-05 23:45:04.286 | INFO     | src.agents.coordinator:backtest:151 - Processed market data with technical indicators and ML signals
2024-12-05 23:45:04.608 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.36827915655840243, entry price 5239.39350569728
2024-12-05 23:45:04.609 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 5241.095132975397 with profit 14.93
2024-12-05 23:45:04.615 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.3283793689588006, entry price 5241.3374131953115
2024-12-05 23:45:04.617 | INFO     | src.agents.market:check_exit_conditions:143 - Atualizando stop_loss para posição curta em 406: 5241.3374131953115
2024-12-05 23:45:04.618 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 5241.3374131953115 with profit 12.21
2024-12-05 23:45:04.676 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.37929886086012365, entry price 5247.293823114272
2024-12-05 23:45:04.679 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 5249.218666830888 with profit 15.64
2024-12-05 23:45:04.905 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.35594242466107506, entry price 5275.0826344600655
2024-12-05 23:45:04.906 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 5276.984352180206 with profit 14.46
2024-12-05 23:45:04.910 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.36079845938722105, entry price 5275.861176508012
2024-12-05 23:45:04.913 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 5277.962960683967 with profit 14.80
2024-12-05 23:45:04.919 | INFO     | src.agents.market:execute_trades:71 - Opened long position: size 0.2323303515255769, entry price 5277.421981215612
2024-12-05 23:45:04.921 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 762: 5277.421981215612
2024-12-05 23:45:04.922 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 763: 5277.421981215612
2024-12-05 23:45:04.924 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 764: 5277.421981215612
2024-12-05 23:45:04.928 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 765: 5277.421981215612
2024-12-05 23:45:04.929 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 766: 5277.421981215612
2024-12-05 23:45:04.930 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 767: 5277.421981215612
2024-12-05 23:45:04.931 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 768: 5277.421981215612
2024-12-05 23:45:04.933 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 769: 5277.421981215612
2024-12-05 23:45:04.934 | INFO     | src.agents.market:execute_trades:49 - Trade closed: long at 5277.421981215612 with profit -17.26
2024-12-05 23:45:05.119 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.35760152633012815, entry price 5298.697849388766
2024-12-05 23:45:05.123 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 5300.475075164493 with profit 14.59
2024-12-05 23:45:05.179 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.3695576300301253, entry price 5304.907969716722
2024-12-05 23:45:05.183 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 5306.722605642669 with profit 15.28
2024-12-05 23:45:05.434 | INFO     | src.agents.market:execute_trades:88 - Opened short position: size 0.3516889847586406, entry price 5333.6746365018835
2024-12-05 23:45:05.440 | INFO     | src.agents.market:execute_trades:49 - Trade closed: short at 5335.947805398399 with profit 14.57
2024-12-05 23:45:05.911 | INFO     | src.agents.market:execute_trades:71 - Opened long position: size 0.2106759217726938, entry price 5386.016626596904
2024-12-05 23:45:05.913 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1845: 5386.016626596904
2024-12-05 23:45:05.914 | INFO     | src.agents.market:check_exit_conditions:131 - Atualizando stop_loss para posição longa em 1846: 5386.016626596904
